overall_qual,log_gr_liv_area,garage_area,total_bsmt_sf,neighborhood,exterior_1st,exterior_2nd,exter_qual,foundation,bsmt_qual,bsmt_exposure,bsmtfin_type_1,heating_qc,kitchen_qual,fireplace_qu,garage_finish,saleprice
6,7.2991214627108,475.0,725.0,Sawyer,HdBoard,Plywood,Gd,CBlock,TA,No,GLQ,Ex,Gd,No Fireplace,RFn,130500
7,7.660114319173928,559.0,913.0,SawyerW,VinylSd,VinylSd,Gd,PConc,Gd,No,GLQ,Ex,Gd,TA,RFn,220000
5,6.963189985870238,246.0,1057.0,NAmes,VinylSd,VinylSd,TA,CBlock,TA,No,GLQ,TA,Gd,No Fireplace,Unf,109000
5,7.275172319452771,400.0,384.0,Timber,VinylSd,VinylSd,TA,PConc,Gd,No,Unf,Gd,TA,No Fireplace,Fin,174000
6,7.275864600546533,484.0,676.0,SawyerW,Wd Sdng,Plywood,TA,PConc,Fa,No,Unf,TA,TA,No Fireplace,Unf,138500
6,7.543273346705446,578.0,1517.0,NAmes,BrkFace,Plywood,Gd,CBlock,TA,No,ALQ,Ex,Gd,Gd,Fin,190000
6,6.977281341630747,525.0,547.0,Edwards,VinylSd,VinylSd,TA,PConc,Gd,Gd,GLQ,Gd,TA,No Fireplace,Fin,140000
5,7.080026499922591,531.0,1188.0,NAmes,Plywood,Plywood,TA,CBlock,TA,No,Rec,Fa,TA,No Fireplace,RFn,142000
5,6.828712071641684,420.0,924.0,OldTown,Wd Sdng,Wd Sdng,TA,CBlock,TA,No,Rec,TA,TA,No Fireplace,Unf,112500
5,7.640123172695364,504.0,1040.0,NAmes,Plywood,Plywood,TA,PConc,Gd,Av,Rec,TA,Fa,TA,Unf,135000
6,6.894670039433482,264.0,483.0,BrDale,HdBoard,HdBoard,TA,CBlock,TA,No,ALQ,TA,TA,No Fireplace,Unf,85400
7,7.0967213784947605,632.0,1208.0,CollgCr,VinylSd,VinylSd,Gd,PConc,Gd,Av,GLQ,Ex,Gd,No Fireplace,RFn,183600
5,7.60887062919126,576.0,0.0,SawyerW,HdBoard,HdBoard,Gd,PConc,No Basement,No,No Basement,Ex,TA,TA,Unf,131000
8,7.382124365737512,480.0,960.0,Somerst,MetalSd,MetalSd,Gd,PConc,Gd,No,GLQ,Ex,Gd,No Fireplace,Unf,200000
7,7.215975002651466,610.0,1351.0,CollgCr,VinylSd,VinylSd,Gd,PConc,Gd,Av,GLQ,Ex,Gd,No Fireplace,RFn,193000
5,7.265429723253953,624.0,1430.0,Mitchel,VinylSd,VinylSd,TA,PConc,Ex,Av,Unf,Ex,Gd,No Fireplace,RFn,173500
